2025-09-07 07:45:28.720 | ERROR    | crawler.content_processor:_generate_image_prompts:148 - 生成图片提示词失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:46:24.276 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 07:46:24.313 | INFO     | crawler.content_processor:__init__:29 - 使用火山方舟DeepSeek API进行内容处理
2025-09-07 07:46:24.314 | INFO     | __main__:startup_event:82 - API服务启动成功
2025-09-07 07:46:24.436 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 07:46:24.436 | INFO     | __main__:shutdown_event:94 - API服务已关闭
2025-09-07 07:46:41.586 | ERROR    | crawler.content_processor:_generate_image_prompts:148 - 生成图片提示词失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:46:41.593 | ERROR    | crawler.content_processor:_analyze_trends:117 - 分析发展趋势失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:46:41.595 | ERROR    | crawler.content_processor:_generate_summary:91 - 生成早报摘要失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:47:08.332 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 07:47:08.333 | INFO     | __main__:startup_event:83 - API服务启动成功
2025-09-07 07:47:08.478 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 07:47:08.478 | INFO     | __main__:shutdown_event:95 - API服务已关闭
2025-09-07 07:47:25.154 | ERROR    | crawler.content_processor:_analyze_trends:117 - 分析发展趋势失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:47:25.163 | ERROR    | crawler.content_processor:_generate_summary:91 - 生成早报摘要失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:47:25.168 | ERROR    | crawler.content_processor:_generate_image_prompts:148 - 生成图片提示词失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:47:54.158 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 07:47:54.158 | INFO     | __main__:startup_event:83 - API服务启动成功
2025-09-07 07:47:54.293 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 07:47:54.293 | INFO     | __main__:shutdown_event:95 - API服务已关闭
2025-09-07 07:48:02.461 | ERROR    | crawler.content_processor:_generate_summary:91 - 生成早报摘要失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:48:02.465 | ERROR    | crawler.content_processor:_generate_image_prompts:148 - 生成图片提示词失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:48:02.469 | ERROR    | crawler.content_processor:_analyze_trends:117 - 分析发展趋势失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:50:23.530 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 07:50:23.530 | INFO     | __main__:startup_event:83 - API服务启动成功
2025-09-07 07:50:23.660 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 07:50:23.660 | INFO     | __main__:shutdown_event:95 - API服务已关闭
2025-09-07 07:50:59.237 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 07:51:06.473 | INFO     | crawler.content_processor:__init__:29 - 使用火山方舟DeepSeek API进行内容处理
2025-09-07 07:51:10.517 | INFO     | crawler.content_processor:_generate_image_prompts:167 - 生成了 3 个图片提示词
2025-09-07 07:51:10.518 | INFO     | crawler.content_processor:_generate_summary:104 - 早报摘要生成成功
2025-09-07 07:51:15.269 | INFO     | crawler.content_processor:_analyze_trends:133 - 分析出 15 个发展趋势
2025-09-07 07:51:15.521 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 07:51:29.086 | ERROR    | crawler.content_processor:_analyze_trends:117 - 分析发展趋势失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:51:29.097 | ERROR    | crawler.content_processor:_generate_image_prompts:148 - 生成图片提示词失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:51:29.149 | ERROR    | crawler.content_processor:_generate_summary:91 - 生成早报摘要失败: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your_ope*******_key. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}
2025-09-07 07:51:39.486 | INFO     | crawler.main:run_daily_crawl:217 - 开始执行每日爬取任务
2025-09-07 07:51:39.487 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 36氪
2025-09-07 07:51:39.495 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 36氪 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:51:39.495 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 虎嗅网
2025-09-07 07:51:39.496 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 虎嗅网 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:51:39.496 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 机器之心
2025-09-07 07:51:39.497 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 机器之心 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:51:39.497 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: AI科技大本营
2025-09-07 07:51:39.497 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 AI科技大本营 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:51:39.497 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 量子位
2025-09-07 07:51:39.498 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 量子位 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:51:39.498 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 新智元
2025-09-07 07:51:39.499 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 新智元 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:51:39.499 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: AI前线
2025-09-07 07:51:39.499 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 AI前线 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:51:39.499 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 雷锋网
2025-09-07 07:51:39.500 | ERROR    | crawler.main:crawl_news_sources:132 - 爬取 雷锋网 时发生错误: Setting 'provider' is deprecated. Instead, use llm_config=LLMConfig(provider="...")
2025-09-07 07:51:39.500 | INFO     | crawler.main:crawl_news_sources:143 - 总共获取到 0 篇去重后的文章
2025-09-07 07:51:39.500 | WARNING  | crawler.main:run_daily_crawl:223 - 未获取到任何文章，跳过早报生成
2025-09-07 07:55:40.004 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 07:56:23.432 | INFO     | crawler.content_processor:__init__:29 - 使用火山方舟DeepSeek API进行内容处理
2025-09-07 07:56:26.772 | INFO     | crawler.content_processor:_generate_summary:104 - 早报摘要生成成功
2025-09-07 07:56:27.674 | INFO     | crawler.content_processor:_generate_image_prompts:167 - 生成了 3 个图片提示词
2025-09-07 07:56:32.923 | INFO     | crawler.content_processor:_analyze_trends:133 - 分析出 12 个发展趋势
2025-09-07 07:56:33.191 | INFO     | crawler.main:cleanup:263 - 爬虫引擎已关闭
2025-09-07 08:10:11.929 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 08:12:02.264 | INFO     | crawler.content_processor:__init__:29 - 使用火山方舟DeepSeek API进行内容处理
2025-09-07 08:12:06.535 | INFO     | crawler.content_processor:_generate_image_prompts:167 - 生成了 3 个图片提示词
2025-09-07 08:12:07.610 | INFO     | crawler.content_processor:_generate_summary:104 - 早报摘要生成成功
2025-09-07 08:12:09.686 | INFO     | crawler.content_processor:_analyze_trends:133 - 分析出 13 个发展趋势
